nivel,entidad,programa,subprograma,anho,monto,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"1- - TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS.
- RECURSOS DEL MEC SALVAGUARDADOS.
- REMUNERACIONES BASICAS DEL PERSONAL OTORGADAS EN TIEMPO Y FORMA.
- BECAS OFRECIDAS POR LOS ORGANISMOS INTERNACIONALES DIFUNDIDAS EN FORMA OPORTUNA Y ADJUDICADAS CO (...)",0- *,2015,2159564577685,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",2014,2138047440809,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,4- - ALUMNOS FORMADOS,"1- -PARTICIPACION ACTIVA DE LOS COOORDINADORES DE SUPERVISION, CONSEJOS DEPARTAMENTALES, SUPERVISORES Y TECNICOS EN LA SENSIBILIZACION A LAS COMUNIDADES DE LA MATRICULACION DE LOS NIÑOS EN EL PREESCOLAR Y EN LA EDUCACION ESCOLAR BASICA, MANTENER LA TASA BR (...)",2014,2122865344213,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,4- - ALUMNOS FORMADOS,"1- -PARTICIPACION ACTIVA DE LOS COOORDINADORES DE SUPERVISION, CONSEJOS DEPARTAMENTALES, SUPERVISORES Y TECNICOS EN LA SENSIBILIZACION A LAS COMUNIDADES DE LA MATRICULACION DE LOS NIÑOS EN EL PREESCOLAR Y EN LA EDUCACION ESCOLAR BASICA, MANTENER LA TASA BR (...)",2013,2098890288506,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- 49.100 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,2013,2051543231178,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,4- - ALUMNOS FORMADOS,"1- -PARTICIPACION ACTIVA DE LOS COOORDINADORES DE SUPERVISION, CONSEJOS DEPARTAMENTALES, SUPERVISORES Y TECNICOS EN LA SENSIBILIZACION A LAS COMUNIDADES DE LA MATRICULACION DE LOS NIÑOS EN EL PREESCOLAR Y EN LA EDUCACION ESCOLAR BASICA, MANTENER LA TASA BR (...)",2012,2041440889829,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",2011,2006078594633,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,2- KWH DE ENERGÍA COMERCIALIZADA.,"2- -OPERATICION DE LAS ESTACIONES Y SUBESTACIONES TRANSFORMADORAS, Y LA TRANSMISION DE LA ENERGIA ELECWETRICA EN TODO EL PAIS.
- OPERACION DE LOS PUESTOS DE DISTRIBUCION Y DE LAS LINEAS DE DISTRIBUCION EN MEDIA TENSION Y BAJA TENSION.
- GARANTIZAR EL SERVI (...)",2012,1986449459057,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),3- TRANSFERENCIA DE RECURSOS A GOBIERNOS MUNICIPALES,2015,1968798305196,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,"1- * SE JUSTIFICA POR LA NECESIDAD DE ATENDER LAS JUBILACIONES Y PENSIONES DE LOS ASEGURADOS. DETERMINAR Y ESTABLECER LOS ASPECTOS GENERALES PARA LA IMPLEMENTACIÓN DE UN SISTEMA QUE AGILIZARA BASICAMENTE LA RECEPCIÓN, TRÁMITE E INFORMACIÓN DE LOS APORTES D (...)",2015,1952228998520,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,1- *,1- *,2015,1872118699463,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2014,1783450057678,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",4- *,2014,1763867630985,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",0- *,2013,1740387691987,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2013,1691711531446,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2012,1671454562949,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,0- *,2013,1670665778360,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- 49.100 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,2012,1659635866058,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,2- -REALIZACION DE 2000 SERV DE PREVENC DE HECHOS PUNIBLES- ATENCION DE 984 CASOS EN BIENESTAR POLICIAL- INVESTIGACION DE 1150 HECHOS PUNIBLES- REALIZAC DE 480 INTERVENCIONES DE APOYO TACTICO- CAPACITACION DE 4603 OFIC Y SUBOFIC- ELABORACION DE 892000 DOCU (...),"1- CONSITE EN DIRIGIR, COORDINAR, CONTROLAR Y EVALUAR LA EJECUCION DE LOS SERVICIOS PREVENTIVOS E INVESTIGATIVOS DE LOS EFECTIVOS DE LA POLICIA NACIONAL A SU CARGO PARA LA PREVENCION DE HECHOS DELICTUOSOS",2014,1657872644875,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,4- - ALUMNOS FORMADOS,"1- -PARTICIPACION ACTIVA DE LOS COOORDINADORES DE SUPERVISION, CONSEJOS DEPARTAMENTALES, SUPERVISORES Y TECNICOS EN LA SENSIBILIZACION A LAS COMUNIDADES DE LA MATRICULACION DE LOS NIÑOS EN EL PREESCOLAR Y EN LA EDUCACION ESCOLAR BASICA, MANTENER LA TASA BR (...)",2011,1647541855847,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2011,1622755272826,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,0- *,2014,1606402984721,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",0- *,2015,1548717711665,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,2- -REALIZACION DE 2000 SERV DE PREVENC DE HECHOS PUNIBLES- ATENCION DE 984 CASOS EN BIENESTAR POLICIAL- INVESTIGACION DE 1150 HECHOS PUNIBLES- REALIZAC DE 480 INTERVENCIONES DE APOYO TACTICO- CAPACITACION DE 4603 OFIC Y SUBOFIC- ELABORACION DE 892000 DOCU (...),"1- CONSITE EN DIRIGIR, COORDINAR, CONTROLAR Y EVALUAR LA EJECUCION DE LOS SERVICIOS PREVENTIVOS E INVESTIGATIVOS DE LOS EFECTIVOS DE LA POLICIA NACIONAL A SU CARGO PARA LA PREVENCION DE HECHOS DELICTUOSOS",2013,1545547853516,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2012,1502769193840,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",0- *,2012,1439138509997,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2013,1402252635913,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- 43.845 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,0- *,2011,1367127454444,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,0- *,2012,1335391260148,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,8- APOYO OPORTUNO PARA LAS INVERSIONES.,0- *,2014,1314851661611,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2011,1310600442508,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,2- -REALIZACION DE 2000 SERV DE PREVENC DE HECHOS PUNIBLES- ATENCION DE 984 CASOS EN BIENESTAR POLICIAL- INVESTIGACION DE 1150 HECHOS PUNIBLES- REALIZAC DE 480 INTERVENCIONES DE APOYO TACTICO- CAPACITACION DE 4603 OFIC Y SUBOFIC- ELABORACION DE 892000 DOCU (...),"1- CONSITE EN DIRIGIR, COORDINAR, CONTROLAR Y EVALUAR LA EJECUCION DE LOS SERVICIOS PREVENTIVOS E INVESTIGATIVOS DE LOS EFECTIVOS DE LA POLICIA NACIONAL A SU CARGO PARA LA PREVENCION DE HECHOS DELICTUOSOS",2012,1286958144395,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,12- *,0- *,2014,1240046789107,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"3- - AVANCE FINANCIERO DE LAS DISTINTAS OBRAS
- AVANCE DE CRONOGRAMA DEL PROGRAMA
- AVANCE DE CRONOGRAMA DEL PROYECTO
- SERVICIOS DE CONSULTORIA RECIBIDOS
- AVANCE DE CRONOGRAMA DE LAS DISTINTAS OBRAS",0- *,2015,1162886640426,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,12- *,0- *,2013,1134367883468,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,2015,1119210832670,,
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,1- *,0- *,2015,1098196395947,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"7- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.",0- *,2012,1094787120606,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",0- *,2011,1069880108804,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,3- *,0- *,2011,1046427663092,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),4- *,2015,1033328309164,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"3- - AVANCE FINANCIERO DE LAS DISTINTAS OBRAS
- AVANCE DE CRONOGRAMA DEL PROGRAMA
- AVANCE DE CRONOGRAMA DEL PROYECTO
- SERVICIOS DE CONSULTORIA RECIBIDOS
- AVANCE DE CRONOGRAMA DE LAS DISTINTAS OBRAS",0- *,2014,1028788031324,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,12- *,0- *,2012,1006211226783,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,2014,994762717982,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"7- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.",0- *,2013,990121634873,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,2- -REALIZACION DE 2000 SERV DE PREVENC DE HECHOS PUNIBLES- ATENCION DE 984 CASOS EN BIENESTAR POLICIAL- INVESTIGACION DE 1150 HECHOS PUNIBLES- REALIZAC DE 480 INTERVENCIONES DE APOYO TACTICO- CAPACITACION DE 4603 OFIC Y SUBOFIC- ELABORACION DE 892000 DOCU (...),"1- CONSITE EN DIRIGIR, COORDINAR, CONTROLAR Y EVALUAR LA EJECUCION DE LOS SERVICIOS PREVENTIVOS E INVESTIGATIVOS DE LOS EFECTIVOS DE LA POLICIA NACIONAL A SU CARGO PARA LA PREVENCION DE HECHOS DELICTUOSOS",2011,968961338906,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"7- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.",0- *,2014,954325166137,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,2- EDUCACIÓN MEDIA,2015,906017794992,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"11- COBERTURA AUMENTADA CON EQUIDAD EN EL ACCESO EN UN 56,1% A LA EDUCACION MEDIA , Y MEJORAMIENTO DE LA CALIDAD, CON UNA TASA DE APROBADOS DEL 76%",0- *,2014,859434355921,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"2- DENTRO DE ESTE SUBPROGRAMA SE INCLUYEN TODOS LOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y MEJORAMIENTO DE CAMINOS PAVIMENTADOS DE LA RED VIAL NACIONAL, A CARGO DE LA DIRECCION DE VIALIDAD.",2015,840894280217,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- - ESTRATEGIAS DE LA POLÍTICA DE SALUD APROBADAS Y REGLAMENTADAS.
- EJECUCIÓN DE LAS LÍNEAS DE ACCIÓN EN SALUD IMPULSADAS.
- DESARROLLO Y ADMINISTRACIÓN DE LOS RECURSOS HUMANOS EN SALUD REALIZADOS
- IMPACTO DE LA IMPLEMENTACIÓN DE LA POLÍTICA NACIONAL DE (...)",0- LA ADMINISTRACION GENERAL ES LA ENCARGADA DEL GERENCIAMIENTO DE LOS SERVICIOS OPERATIVOS QUE OFRECE EL M. S. P. Y B. S. ADMINISTRA LOS RECURSOS HUMANOS Y FINANCIEROS NECESARIOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DESTINADAS A LA SUPERVISION DE LA AD (...),2015,836633520668,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"11- COBERTURA AUMENTADA CON EQUIDAD EN EL ACCESO EN UN 56,1% A LA EDUCACION MEDIA , Y MEJORAMIENTO DE LA CALIDAD, CON UNA TASA DE APROBADOS DEL 76%",0- *,2012,836087368640,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"11- COBERTURA AUMENTADA CON EQUIDAD EN EL ACCESO EN UN 56,1% A LA EDUCACION MEDIA , Y MEJORAMIENTO DE LA CALIDAD, CON UNA TASA DE APROBADOS DEL 76%",0- *,2013,831560997848,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"6- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.
",0- *,2014,818112440922,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,12- *,0- *,2011,782957335214,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"11- COBERTURA AUMENTADA CON EQUIDAD EN EL ACCESO EN UN 56,1% A LA EDUCACION MEDIA , Y MEJORAMIENTO DE LA CALIDAD, CON UNA TASA DE APROBADOS DEL 76%",0- *,2011,752550805151,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"6- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.
",0- *,2012,742788647184,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"4- PAGO A BENEFICIARIOS VETERANOS, HEREDEROS, PENSION ALIMENTARIA ADULTOS MAYORES, SUBSIDIOS A VETERANOS Y LISIADOS, PENSION GRACIABLE, GASTOS DE SEPELIO Y HABERES ATRASADOS POR RESOLUCION DPNC.",1- PENSION ADULTO MAYORES,2015,722055303684,,
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,1- *,0- *,2014,678657258760,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,2012,674807095524,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,"1- -IMPLEMENTAR METODOS DE CALIDAD TOTAL, CON RECURSOS HUMANOS EFICIENTES, EFICAZ Y COMPETITIVO.
-TIEMPO DE PROCESAMIENTO DEL PAGO DE LAS OBLIGACIONES CONTRAIDAS.
-DECISIONES IMPARTIDAS A NIVEL GERENCIAL",0- *,2015,667505487937,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,1- *,0- *,2016,664538954983,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"3- - AVANCE FINANCIERO DE LAS DISTINTAS OBRAS
- AVANCE DE CRONOGRAMA DEL PROGRAMA
- AVANCE DE CRONOGRAMA DEL PROYECTO
- SERVICIOS DE CONSULTORIA RECIBIDOS
- AVANCE DE CRONOGRAMA DE LAS DISTINTAS OBRAS",0- *,2013,658696092619,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),2- *,2015,636121106348,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,2013,635710079049,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,2011,634253787615,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"3- - INFORME FINANCIERO, CONTABLE Y PATRIMONIALES ELABORADOS.
- MANUAL DE ORGANIZACIÓN Y FUNCIONES ELABORADO.
- DOCUMENTACIONES PRESENTADOS EN TIEMPO UTIL.
- EJECUCIÓN PRESUPUESTARIA EN UN 95 % PARA EL PERIODO 2009.
- DISMINUIR EN UN 70 % LAS REPROGRAMACIO (...)",0- *,2015,625521518071,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"6- -TRANSFERENCIA DE RECURSOS FINANCIEROS A GOBIERNOS SUBNACIONALES.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS.
",0- *,2013,573799526908,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"1- - TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS.
- RECURSOS DEL MEC SALVAGUARDADOS.
- REMUNERACIONES BASICAS DEL PERSONAL OTORGADAS EN TIEMPO Y FORMA.
- BECAS OFRECIDAS POR LOS ORGANISMOS INTERNACIONALES DIFUNDIDAS EN FORMA OPORTUNA Y ADJUDICADAS CO (...)",0- *,2014,573461793009,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"2- DENTRO DE ESTE SUBPROGRAMA SE INCLUYEN TODOS LOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y MEJORAMIENTO DE CAMINOS PAVIMENTADOS DE LA RED VIAL NACIONAL, A CARGO DE LA DIRECCION DE VIALIDAD.",2014,570851516156,,
