nivel,entidad,programa,subprgrama,monto,,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- -SE PRETENDE ALCANZAR A 50.000 BENEFICIARIOS DE LOS SECTORES AGRÍCOLAS, INDUSTRIALES Y COMERCIALES, CON UN NIVEL DE DESEMBOLSOS DE 350.000 MILLONES DE GUARANIES.
",0- *,1548717711665,,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"3- - AVANCE FINANCIERO DE LAS DISTINTAS OBRAS
- AVANCE DE CRONOGRAMA DEL PROGRAMA
- AVANCE DE CRONOGRAMA DEL PROYECTO
- SERVICIOS DE CONSULTORIA RECIBIDOS
- AVANCE DE CRONOGRAMA DE LAS DISTINTAS OBRAS",0- *,1162886640426,,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,"1- -CAPACITACION DE RECURSOS HUMANOS.
-PROCESOS ADMINISTRATIVOS IMPLEMENTADOS.
-COMPROMISO DE TODA LA ORGANIZACIÓN EN TODOS LOS PLANES A SER DESARROLLADOS.",0- *,1119210832670,,,
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,1- *,0- *,1098196395947,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),4- *,1033328309164,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,2- EDUCACIÓN MEDIA,906017794992,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"2- DENTRO DE ESTE SUBPROGRAMA SE INCLUYEN TODOS LOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y MEJORAMIENTO DE CAMINOS PAVIMENTADOS DE LA RED VIAL NACIONAL, A CARGO DE LA DIRECCION DE VIALIDAD.",840894280217,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- - ESTRATEGIAS DE LA POLÍTICA DE SALUD APROBADAS Y REGLAMENTADAS.
- EJECUCIÓN DE LAS LÍNEAS DE ACCIÓN EN SALUD IMPULSADAS.
- DESARROLLO Y ADMINISTRACIÓN DE LOS RECURSOS HUMANOS EN SALUD REALIZADOS
- IMPACTO DE LA IMPLEMENTACIÓN DE LA POLÍTICA NACIONAL DE (...)",0- LA ADMINISTRACION GENERAL ES LA ENCARGADA DEL GERENCIAMIENTO DE LOS SERVICIOS OPERATIVOS QUE OFRECE EL M. S. P. Y B. S. ADMINISTRA LOS RECURSOS HUMANOS Y FINANCIEROS NECESARIOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DESTINADAS A LA SUPERVISION DE LA AD (...),836633520668,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"4- PAGO A BENEFICIARIOS VETERANOS, HEREDEROS, PENSION ALIMENTARIA ADULTOS MAYORES, SUBSIDIOS A VETERANOS Y LISIADOS, PENSION GRACIABLE, GASTOS DE SEPELIO Y HABERES ATRASADOS POR RESOLUCION DPNC.",1- PENSION ADULTO MAYORES,722055303684,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,"1- -IMPLEMENTAR METODOS DE CALIDAD TOTAL, CON RECURSOS HUMANOS EFICIENTES, EFICAZ Y COMPETITIVO.
-TIEMPO DE PROCESAMIENTO DEL PAGO DE LAS OBLIGACIONES CONTRAIDAS.
-DECISIONES IMPARTIDAS A NIVEL GERENCIAL",0- *,667505487937,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),2- *,636121106348,,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"3- - INFORME FINANCIERO, CONTABLE Y PATRIMONIALES ELABORADOS.
- MANUAL DE ORGANIZACIÓN Y FUNCIONES ELABORADO.
- DOCUMENTACIONES PRESENTADOS EN TIEMPO UTIL.
- EJECUCIÓN PRESUPUESTARIA EN UN 95 % PARA EL PERIODO 2009.
- DISMINUIR EN UN 70 % LAS REPROGRAMACIO (...)",0- *,625521518071,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"1- DENTRO DE ESTE SUBPROGRAMA SE CONTEMPLA EL PROYECTO DE CONSERVACION DE OBRAS VIALES, DESTINADO AL MANTENIMIENTO RUTINARIO Y PERIODICO DE LA RED VIAL NACIONAL, YA SEAN ESTOS POR ADMINISTRACION DIRECTA A TRAVÉS DE LOS DISTRITOS DE CONSERVACION VIAL DE LA  (...)",530681398586,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","17- GESTIÓN EN TIEMPO Y FORMA DE LA ADQUISICION, ALMACENAMIENTO Y PROVISIÓN DE MEDICAMENTOS, INSUMOS, REACTIVOS, GASES MEDICINALES, INSTRUMENTALES Y EQUIPOS MEDICOS A LOS SERVICIOS DE SALUD DEL MSPYBS",451130864292,,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,"1- - REALIZACIÓN Y PRESENTACIÓN DEL ANTEPROYECTO DE PRESUPUESTO EN TIEMPO Y FORMA
- GESTIONES ADMINISTRATIVAS INTERNAS Y EXTERNAS REALIZADAS CON EFICIENCIA
- TRÁMITES ADMINISTRATIVOS SIMPLIFICADOS Y AGILIZADOS
- RECURSOS HUMANOS CAPACITADOS SEGÚN RECURSOS  (...)",0- *,441437555483,,,
12-PODER EJECUTIVO,04-MINISTERIO DE RELACIONES EXTERIORES,"1- - COORDINACIÓN DE POLÍTICAS NEGOCIADAS E IMPLEMENTADAS.
- PROMOCIÓN DEL PAÍS EN EL EXTERIOR REALIZADAS.
- CONNACIONALES RESIDENTES PERMANENTES Y NO PERMANENTES ATENDIDOS.
- NEGOCIACIONES INTERNACIONALES Y REGIONALES EFECTUADAS.
- COOPERACIONES INTERNACI (...)",0- *,419110651671,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,4- DENTRO DE ESTE SUBPROGRAMA SE CONTEMPLA EL PROYECTO DE CONSTRUCCION DE PAVIMENTO TIPO EMPEDRADO ASÍ COMO LA CONSTRUCCION DE OBRAS DE ARTE EN VARIOS TRAMOS CAMINEROS DE LA REPÚBLICA.,416983939136,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,2- *,402567241526,,,
13-PODER JUDICIAL,03-MINISTERIO PÚBLICO,"1- FISCALIAS PENALES 
VELAR POR EL RESPETO DE LOS DERECHOS Y GARANTIAS CONSTITUCIONALES.
PROMOVER LA ACCION PARA DEFENDER EL PATRIMONIO PUBLICO Y SOCIAL DEL MADIO AMBIENTE Y DE LOS OTROS INTERESES DIFUSOS Y DE LOS DERECHOS DE LOS PUEBLOS INDIGENAS.
EJERCER (...)",1- *,387192000483,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,10-COMISIÓN NACIONAL DE TELECOMUNICACIONES,1- -TRÁMITES ADMINISTRATIVOS REALIZADOS EN TIEMPO Y FORMA.,0- *,378932727705,,,
27-ENTIDADES FINANCIERAS OFICIALES,03-CRÉDITO AGRÍCOLA DE HABILITACIÓN,1- ASISTIR A PEQUEÑOS PRODUCTORES Y MICROEMPRESARIOS RURALES FINANCIERA Y TECNICAMENTE A TRAVES DE CENTROS DE ATENCIÓN EN L16 DEPARATAMENTOS DEL PAIS.,0- *,368781844984,,,
21-BANCA CENTRAL DEL ESTADO,01-BANCO CENTRAL DEL PARAGUAY,"1- -POLÍTICA CAMBIARIA Y MONETARIA DEL PAÍS.
-FUNCIONARIOS CAPACITADOS.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS.",0- *,328067446151,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,03-CAJA DE JUBILACIONES Y PENSIONES DEL PERSONAL DE LA ANDE,1- MEJORAMIENTO EN LA CALIDAD DE VIDA DE LOS AFILIADOS.,0- 0,327331794253,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,0- *,313666560007,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,1- *,0- *,303840333530,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,1- *,3- *,289788033082,,,
13-PODER JUDICIAL,02-JUSTICIA ELECTORAL,"1- - TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
- TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAÍDAS.
",0- *,280104167083,,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- - TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS. 
- CALIDAD Y RAPIDEZ DE LA ATENCION AL CLIENTE.
- DESARROLLO DE PROGRAMAS TECNOLOGICOS.
-FUNCIONARIOS CAPACITADOS EN CURSOS Y SEMINARIOS.
",0- *,273291513592,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,2- *,268184097104,,,
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,1- CUMPLIMIENTO DE LAS OBLIGACIONES CONTRAIDAS POR LA ANDE POR CONTRATACION Y UTILIZACIÓN DE RECURSOS DE DIFERENTES ORGANISMOS FINANCIEROS.,0- *,257856783299,,,
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1-   SUB/PRY/PROD          DEN. DEL PROD.    CANTIDAD   UNID. DE MEDIDA
EXPL. Y ELAB DE CLINKER CLINKER           600.000         TON/AÑO
MOLIENDA DE CEMENTO     CEMENTO PORTLAND  795.200         TON/AÑO
MOLIENDA DE CAL AGRICOLA         24.000 TON/AÑO
","1- PRODUCCIÓN DE 550,000 TONELADAS DE CLINKER Y 105,847 TONELADAS DE CEMENTO CORRESPONDIENTE AL TIPO CP II F-32 EN BASE A LA NORMA PARAGUAYA NP 1704480 CON CERTIFICACIÓN DEL INSTITUTO PARAGUAYO DE TECNOLOGÍA Y NORMALIZACIÓN (INTN).	",253945390214,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,"1- EXCEDENTES FINANCIEROS SON COLOCADOS EN CONDICIONES FAVORABLES DE SEGURIDAD, TRANSPARENCIA Y RENTABILIDAD.
RECAUDACIONES PROVENIENTES DE APORTES OBRERO PATRONAL QUE AUMENTAN EN PROMEDIO ANUAL POR ENCIMA DEL 10%.
RENTABILIDAD DE LOS ACTIVOS FINANCIEROS Y (...)",0- *,252630952929,,,
13-PODER JUDICIAL,02-JUSTICIA ELECTORAL,"2- PROCESOS JUDICIALES ELECTORALES OBJETIVOS Y ACORDES A DERECHO.
INCREMENTO DE CIUDADANOS EMPADRONADOS EN EL REGISTRO CIVICO PERMANENTE.",0- *,247102666259,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"4- PAGO A BENEFICIARIOS VETERANOS, HEREDEROS, PENSION ALIMENTARIA ADULTOS MAYORES, SUBSIDIOS A VETERANOS Y LISIADOS, PENSION GRACIABLE, GASTOS DE SEPELIO Y HABERES ATRASADOS POR RESOLUCION DPNC.","2- PENSIONES DE VETERANOS Y LISIADOS, SUS HEREDEROS, PENSIONES GRACIABLES, SUBSIDIOS, ETC.",242364857686,,,
11-PODER LEGISLATIVO,03-CÁMARA DE DIPUTADOS,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA.",0- *,234258183822,,,
13-PODER JUDICIAL,06-MINISTERIO DE LA DEFENSA PUBLICA,1- *,0- *,230206269677,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,"1- - REDUCCIÓN DEL TIEMPO DE GESTIÓN Y TRAMITES ADMINISTRATIVOS.
- REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN.
- SUMINISTRAR BIENES DE CONSUMO Y MUEBLES (...)",0- *,224250474133,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,0- *,216925480434,,,
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,4- PAGO OPORTUNO DE LA DEUDA,0- *,215530450071,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,8-  FORMACION DE PERSONAS JOVENES Y ADULTAS,207519443918,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"6- DENTRO DE ESTE SUBPROGRAMA SE ENCUENTRAN CONTEMPLADOS LOS DISTINTOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y CONSERVACION DE CAMINOS VECINALES Y RURALES EN LA REGIÓN ORIENTAL DEL PAÍS, EJECUTADOS A TRAVÉS DE LA DIRECCION DE CAMINOS VECINALES DE ESTE  (...)",207370953554,,,
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1-   SUB/PRY/PROD          DEN. DEL PROD.    CANTIDAD   UNID. DE MEDIDA
EXPL. Y ELAB DE CLINKER CLINKER           600.000         TON/AÑO
MOLIENDA DE CEMENTO     CEMENTO PORTLAND  795.200         TON/AÑO
MOLIENDA DE CAL AGRICOLA         24.000 TON/AÑO
","2- PRODUCCIÓN DE 709,175 TONELADAS DE CEMENTO, DE LOS CUALES 314.980,49 TONELADAS CORRESPONDEN AL TIPO CP II C-32, 309.980,49 TONELADAS AL TIPO CP IV -32 (PUZOLÁNICO), 27.217,80 TONELADAS AL TIPO CAB-45 Y 85.797,00 TONELADAS AL TIPO CP II F-32 EN BASE A LA (...)",198992948365,,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"6- - REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.
- REDUCCION DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISION DE LA INFORMACION ESPERADAS.",0- *,191520172788,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","1- APS MEDICINA FAMILIAR SE MATERIALIZA EN LAS COMUNIDADES A TRAVES DE LAS UNIDADES DE SALUD DE LA FAMILIA (USF), QUE ACTUAN COMO UNA PUERTA DE ENTRADA AL SISTEMA DE SALUD, JERARQUIZANDO Y ORDENANDO LA ATENCION DE MANERA A OBTENER UNA MAYOR RACIONALIZACION (...)",184918575239,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",67- *,179660936948,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),1- *,174035398194,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"14- PAV. ASF. S/ EMPEDRADOS, RECAPADO, Y PAV. PETREA DE VARIOS TRAMOS MEDIANTE LA UTILIZACION DE LOS FONDOS ESTRUCTURALES DEL MERCOSUR A OBJETO DE REDUCIR COSTOS DE TRANSPORTES Y MEJORAR LA COMPETITIVIDAD ESTIMULANDO LA PRODUCCION DE BIENES EXPORTABLES O D (...)",173919033248,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- RECAUDACIONES INCREMENTADAS EN EL AMBITO DE MEDIANOS, PEQUEÑOS Y GRANDES CONTRIBUYENTES 5%
ASESORAR Y RECOMENDAR CURSOS DE ACCIÒN, QUE PERMITA EL MEJORAMIENTO ESTRUCTURAL DEL PAIS.
ESTUDIAR LOS EFECTOS DE LAS MEDIDAS DE POLITICAS ECONOMICAS SOBRE LA ECO (...)",1- SUBSECRETARIA DE ESTADO DE TRIBUTACION,160805628698,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,15-DIRECCION NACIONAL DE ADUANAS,"1- - INCREMENTAR LA RECAUDACIÓN FISCAL MEJORANDO LA APLICACIÓN DE LAS TÉCNICAS ADUANERAS.
",0- *,151524896768,,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,1- % DE EJECUCION,0- *,149395806838,,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"5- -BUENA CAPACIDAD FISICA DE LA INFRAESTRUCTURA EDILICIA PARA EL DESARROLLO DE LA CONDUCCIÓN Y EL PLANEAMIENTO ESTRATEGICO DE LA FUERZA AEREA.
-NIVEL ACEPTABLE DE MANTENIMIENTO DE EQUIPOS INFORMATICOS Y DE COMUNICACIÓN",0- *,143953362261,,,
13-PODER JUDICIAL,03-MINISTERIO PÚBLICO,"1- -INFORME DEL SISTEMA ORGANIZACIONAL IMPLEMENTADO
-INFORME DEL EQUIPO TECNICO SOBRE LA IMPLEMENTACIÓN DEL SISTEMA.
-INFORME DE GESTIÓN ADMINISTRATIVA Y FINANCIERA
-SISTEMA DE PLANIFICACIÓN Y DISTRIBUCIÓN DE RECURSOS IMPLEMENTADOS
-PROCESOS DEL MINISTERIO (...)",0- *,141023098240,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,15-DIRECCION NACIONAL DE ADUANAS,"1- -RECURSOS FINANCIEROS PROVEIDOS 
-PROCESOS ADMINISTRATIVOS OPTIMIZADOS CON MIRAS A OBTENER CERTIFICACIÓN DE CALIDAD INTERNACIONAL.",0- *,138332860353,,,
12-PODER EJECUTIVO,09-MINISTERIO DE JUSTICIA Y TRABAJO,"2- - INSCRIPCIÒN Y EXPEDICIÓN DE CERTIFICADOS DE HECHOS VITALES (NACIMIENTOS, MATRIMONIOS, DEFUNCIONES)

",2- *,135530502872,,,
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1- SE ESPERA UN AVANCE DEL PROYECTO EN UN 75% PARA SU CULMINACION EN EL EJERCICIO 2008.
",0- *,122420555722,,,
12-PODER EJECUTIVO,"16-MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL",1- *,2- *,117743344088,,,
25-EMPRESAS PÚBLICAS,05-DIRECCIÓN NACIONAL DE AERONAÚTICA CIVIL,"1- - PERS. TECN. DE DIVERS. AEREAS DE LA DINAC. CAPAC. Y ACTUALIZADOS.
- VUELOS Y SOBREVUELOS SEG. Y EFIC. CON EQUIPOS RECUP.Y RENOV. CON RECURSOS HUMANOS CAPACITADOS.
- PRESTAR LOS SERV. REQUER. PARA SATISF. LAS NECES. DE LAS DISTINTAS ACTIV. DEPEND. DE L (...)",1- *,116546040353,,,
11-PODER LEGISLATIVO,02-CÁMARA DE SENADORES,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA",0- *,115151355164,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,1- DOCUMENTOS.,1- *,113764531969,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",77- *,105936158861,,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,1- *,0- *,103953405416,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,03-INSTITUTO NACIONAL DE DESARROLLO RURAL Y DE LA TIERRA,2- *,0- *,100004981365,,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,7- - CUMPLIR EN FORMA EFICIENTE LA MISION ASIGNADA POR LA CONSTITUCION NACIONAL Y LAS LEYES.,8- DIRECCION DEL SERVICIO DE INTENDENCIA DEL EJERCITO,98775830546,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,2- *,2- *,95457465402,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- INFORMACIONES CONFIABLES Y PRECISAS.
DISMINUCIÓN DE JUICIOS POR DEUDAS PRESCRIPTAS A CONTRIBUYENTES CUYAS POSIBILIDAD DE EFECTIVIZACIÓN SEAN NULAS.
CONCURSO DE MERITOS PARA ACCESO A PROMOCIONES O VACANCIAS.
PROVISIÓN DE INSUMOS EN TIEMPO Y FORMA.
PAGO A (...)",0- *,94190772004,,,
