nivel,entidad,programa,subprograma,monto
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"1- DENTRO DE ESTE SUBPROGRAMA SE CONTEMPLA EL PROYECTO DE CONSERVACION DE OBRAS VIALES, DESTINADO AL MANTENIMIENTO RUTINARIO Y PERIODICO DE LA RED VIAL NACIONAL, YA SEAN ESTOS POR ADMINISTRACION DIRECTA A TRAVÉS DE LOS DISTRITOS DE CONSERVACION VIAL DE LA  (...)",5722408689984
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"3- PAGO A BENEFICIARIOS VETERANOS, HEREDEROS, PENSION ALIMENTARIA ADULTOS MAYORES, SUBSIDIOS A VETERANOS Y LISIADOS, PENSION GRACIABLE, GASTOS DE SEPELIO Y HABERES ATRASADOS POR RESOLUCION DPNC.",1- *,5439631680000
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,"1- - TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS.
- RECURSOS DEL MEC SALVAGUARDADOS.
- REMUNERACIONES BASICAS DEL PERSONAL OTORGADAS EN TIEMPO Y FORMA.
- BECAS OFRECIDAS POR LOS ORGANISMOS INTERNACIONALES DIFUNDIDAS EN FORMA OPORTUNA Y ADJUDICADAS CO (...)",0- *,5137318148988
21-BANCA CENTRAL DEL ESTADO,01-BANCO CENTRAL DEL PARAGUAY,"1- -POLÍTICA CAMBIARIA Y MONETARIA DEL PAÍS.
-FUNCIONARIOS CAPACITADOS.
-TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS.",0- *,5030690874348
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,4- DENTRO DE ESTE SUBPROGRAMA SE CONTEMPLA EL PROYECTO DE CONSTRUCCION DE PAVIMENTO TIPO EMPEDRADO ASÍ COMO LA CONSTRUCCION DE OBRAS DE ARTE EN VARIOS TRAMOS CAMINEROS DE LA REPÚBLICA.,4990583600196
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,"1- -IMPLEMENTAR METODOS DE CALIDAD TOTAL, CON RECURSOS HUMANOS EFICIENTES, EFICAZ Y COMPETITIVO.
-TIEMPO DE PROCESAMIENTO DEL PAGO DE LAS OBLIGACIONES CONTRAIDAS.
-DECISIONES IMPARTIDAS A NIVEL GERENCIAL",0- *,4715330867760
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1-   SUB/PRY/PROD          DEN. DEL PROD.    CANTIDAD   UNID. DE MEDIDA
EXPL. Y ELAB DE CLINKER CLINKER           515.000         TON/AÑO
MOLIENDA DE CEMENTO     CEMENTO PORTLAND  598.449         TON/AÑO
MOLIENDA DE CAL AGRICOLA         70.000 TON/AÑO
","1- ESTE PROGRAMA TIENE POR OBJETO, PREVER LOS MEDIOS ECONOMICOS QUE DEMANDAN LAS ACTIVIDADES PARA LA EXPLOTACION DE LAS MATERIAS PRIMAS Y PROCESAMIENTO PARA LA ELABORACION DE CLINKER.
SE RESALTA LAS SIGUIENTES ETAPAS DE PROCESO:
1. OPERATIVA: INHERENTES A  (...)",4501087031808
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"3- PAGO A BENEFICIARIOS VETERANOS, HEREDEROS, PENSION ALIMENTARIA ADULTOS MAYORES, SUBSIDIOS A VETERANOS Y LISIADOS, PENSION GRACIABLE, GASTOS DE SEPELIO Y HABERES ATRASADOS POR RESOLUCION DPNC.",0- *,3886608000000
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"20- INDIVIDUOS, GRUPOS Y COMUNIDADES ATENDIDOS EN LOS SERVICIOS SOCIALES.
SISTEMAS DE AGUA POTABLE CONSTRUIDOS Y MEJORADOS Y EFECTOS DE RIESGOS AMBIENTALES MITIGADOS.
ACTIVIDADES PARA EL CONTROL DE ESTABLECIMIENTOS Y PRODUCTOS DE CONSUMO DE LA POBLACIÓN.
Z (...)","5- ES UNA ESTRATEGIA QUE APUNTA AL FORTALECIMIENTO DE LA OFERTA DE SERVICIOS, DE ESTA MANERA CONSOLIDAR EN TODO EL TERRITORIO NACIONAL, LA COBERTURA Y EL ACCESO A LOS MEDICAMENTOS, INSUMOS Y EQUIPOS, QUE PERMITA DAR RESPUESTA OPORTUNA Y ADECUADA A TODA LA  (...)",3856652208168
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"14- PAV. ASF. S/ EMPEDRADOS, RECAPADO, Y PAV. PETREA DE VARIOS TRAMOS MEDIANTE LA UTILIZACION DE LOS FONDOS ESTRUCTURALES DEL MERCOSUR A OBJETO DE REDUCIR COSTOS DE TRANSPORTES Y MEJORAR LA COMPETITIVIDAD ESTIMULANDO LA PRODUCCION DE BIENES EXPORTABLES O D (...)",3808522444236
13-PODER JUDICIAL,02-JUSTICIA ELECTORAL,"1- - TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
- TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAÍDAS.
",0- *,3783847056540
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,2- *,3731965732320
13-PODER JUDICIAL,02-JUSTICIA ELECTORAL,2- INSCRIPCION DE 40.000 CIUDADANOS.,0- *,3688656505668
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- - TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS. 
- CALIDAD Y RAPIDEZ DE LA ATENCION AL CLIENTE.
- DESARROLLO DE PROGRAMAS TECNOLOGICOS.
-FUNCIONARIOS CAPACITADOS EN CURSOS Y SEMINARIOS.
",0- *,3662252133720
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,15-DIRECCION NACIONAL DE ADUANAS,"1- -RECURSOS FINANCIEROS PROVEIDOS 
-PROCESOS ADMINISTRATIVOS OPTIMIZADOS CON MIRAS A OBTENER CERTIFICACIÓN DE CALIDAD INTERNACIONAL.",0- *,3637784646060
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,03-INSTITUTO NACIONAL DE DESARROLLO RURAL Y DE LA TIERRA,1- FORTALECER EL SERVICIO DE MENSURA TITULACION,1- *,3630723564876
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,"1- EXCEDENTES FINANCIEROS SON COLOCADOS EN CONDICIONES FAVORABLES DE SEGURIDAD, TRANSPARENCIA Y RENTABILIDAD.
RECAUDACIONES PROVENIENTES DE APORTES OBRERO PATRONAL QUE AUMENTAN EN PROMEDIO ANUAL POR ENCIMA DEL 10%.
RENTABILIDAD DE LOS ACTIVOS FINANCIEROS Y (...)",0- *,3318848207856
27-ENTIDADES FINANCIERAS OFICIALES,03-CRÉDITO AGRÍCOLA DE HABILITACIÓN,1- EFICIENTE ASIGNACIÓN DE LOS RECURSOS ADMINISTRATIVOS DE LA INSTITUCIÓN.,0- *,3080173667208
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","22- REALIZAR ACCIONES TENDIENTES A MEJORAR LA CALIDAD DE VIDA DE LOS HABITANTES, A TRAVEZ DE LA ASISTENCIA MEDICA INTEGRAL EN LOS TERRITORIOS ASIGNADOS",2973496923828
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,25- *,2932625371464
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,6- ATENCIÓN ESPECIALIZADA EN INTERNACIÓN Y ASISTENCIA EN  SALUD PARA LA POBLACIÓN NECESITADA DE ESPECIALIDADES GENERALES EN FORMA EFICIENTE.,2918055638496
12-PODER EJECUTIVO,04-MINISTERIO DE RELACIONES EXTERIORES,"3- - NEGOCIACIONES INTERNACIONALES Y REGIONALES EFECTUADAS.
- COOPERACIONES INTERNACIONALES CONCRETADAS.
- COORDINACIÓN DE POLÍTICAS NEGOCIADAS E IMPLEMENTADAS.
- PROMOCIÓN DE LOS PRODUCTOS NACIONALES EN EL EXTERIOR REALIZADAS.
- PROMOCIÓN DE LOS ATRACTIVO (...)",0- *,2909602482768
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,0- *,2851806694332
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,"1- - REALIZACIÓN Y PRESENTACIÓN DEL ANTEPROYECTO DE PRESUPUESTO EN TIEMPO Y FORMA
- GESTIONES ADMINISTRATIVAS INTERNAS Y EXTERNAS REALIZADAS CON EFICIENCIA
- TRÁMITES ADMINISTRATIVOS SIMPLIFICADOS Y AGILIZADOS
- RECURSOS HUMANOS CAPACITADOS SEGÚN RECURSOS  (...)",0- *,2781266972940
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,1- *,0- *,2773776297840
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,"1- - REDUCCIÓN DEL TIEMPO DE GESTIÓN Y TRAMITES ADMINISTRATIVOS.
- REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN.
- SUMINISTRAR BIENES DE CONSUMO Y MUEBLES (...)",0- *,2715908603628
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- - ESTRATEGIAS DE LA POLÍTICA DE SALUD APROBADAS Y REGLAMENTADAS.
- EJECUCIÓN DE LAS LÍNEAS DE ACCIÓN EN SALUD IMPULSADAS.
- DESARROLLO Y ADMINISTRACIÓN DE LOS RECURSOS HUMANOS EN SALUD REALIZADOS
- IMPACTO DE LA IMPLEMENTACIÓN DE LA POLÍTICA NACIONAL DE (...)",0- LA ADMINISTRACION GENERAL ES LA ENCARGADA DEL GERENCIAMIENTO DE LOS SERVICIOS OPERATIVOS QUE OFRECE EL M. S. P. Y B. S. ADMINISTRA LOS RECURSOS HUMANOS Y FINANCIEROS NECESARIOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DESTINADAS A LA SUPERVISION DE LA AD (...),2702519097384
11-PODER LEGISLATIVO,03-CÁMARA DE DIPUTADOS,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA.",0- *,2690058745692
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"21- EL OBJETIVO DEL PROGRAMA ES REDUCIR LOS COSTOS DE TRANSPORTE EN LOS CORREDORES DE INTEGRACIÓN NACIONAL E INTERNACIONAL, A LA VEZ SE CONSERVA EL PATRIMONIO VIAL DEL PAÍS. EL PROGRAMA MEJORARÁ LAS CONDICIONES DE TRANSITABILIDAD Y LOS NIVELES DE ACCESIBIL (...)",2502344656632
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,7- *,0- *,2485386379224
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- RECAUDACIONES INCREMENTADAS EN EL AMBITO DE MEDIANOS, PEQUEÑOS Y GRANDES CONTRIBUYENTES 5%",1- *,2464508719176
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1-   SUB/PRY/PROD          DEN. DEL PROD.    CANTIDAD   UNID. DE MEDIDA
EXPL. Y ELAB DE CLINKER CLINKER           515.000         TON/AÑO
MOLIENDA DE CEMENTO     CEMENTO PORTLAND  598.449         TON/AÑO
MOLIENDA DE CAL AGRICOLA         70.000 TON/AÑO
","2- ESTE PROGRAMA TIENE POR OBJETO PREVER LOS MEDIOS ECONOMICOS QUE DEMANDAN LAS ACTIVIDADES PARA LA MOLIENDA DE CEMENTO PORTLAND EN LA PLANTA INDUSTRIAL DE VILLETA.
SE RESALTA LAS SIGUIENTES ETAPAS DE PROCESO:
1. OPERATIVAS:INHERENTES A LA EXPLOTACION DE M (...)",2427219979908
13-PODER JUDICIAL,06-MINISTERIO DE LA DEFENSA PUBLICA,1- *,0- *,2395765165980
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"3- -ATENCIÓN MÉDICA BRINDADA A LA COMUNIDAD
-ACTIVIDADES DE EXTENSIÓN UNIVERSITARIA REALIZADAS
-CAMPO DE PRÁCTICAS HOSPITALARIAS PARA LAS ACTIVIDADES DOCENTES, ASISTENCIALES Y DE INVESTIGACIÓN PROVEÍDOS",1- *,2377254391872
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"3- -ATENCIÓN MÉDICA BRINDADA A LA COMUNIDAD
-ACTIVIDADES DE EXTENSIÓN UNIVERSITARIA REALIZADAS
-CAMPO DE PRÁCTICAS HOSPITALARIAS PARA LAS ACTIVIDADES DOCENTES, ASISTENCIALES Y DE INVESTIGACIÓN PROVEÍDOS",2- *,2304561653652
25-EMPRESAS PÚBLICAS,02-ADMINISTRACIÓN NACIONAL DE ELECTRICIDAD,1- CUMPLIMIENTO DE LAS OBLIGACIONES CONTRAIDAS POR LA ANDE POR CONTRATACION Y UTILIZACIÓN DE RECURSOS DE DIFERENTES ORGANISMOS FINANCIEROS.,0- *,2167277413404
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,14- - PERSONAS CAPACITADAS,0- *,2134218832500
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"6- - REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.
- REDUCCION DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISION DE LA INFORMACION ESPERADAS.",0- *,2132371628100
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,4- LA COORDINACIÓN INTERINSTITUCIONAL ADMINISTRATIVA Y FINANCIERA A LOS PROGRAMAS Y PROYECTOS EJECUTADOS POR LA SAS.,1- *,2101536153012
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,10-COMISIÓN NACIONAL DE TELECOMUNICACIONES,1- -TRÁMITES ADMINISTRATIVOS REALIZADOS EN TIEMPO Y FORMA.,0- *,2066974887348
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,8- DENTRO DE ESTE SUBPROGRAMA SE CONTEMPLA EL PROYECTO PARA LA CONSTRUCCIÓN DE UN SISTEMA DE TRASVASE DE AGUA DESDE EL RÍO PARAGUAY HASTA EL CHACO CENTRAL ASÍ COMO LA IMPLEMENTACIÓN DE ALTERNATIVAS INMEDIATAS PARA ENFRENTAR LA PROBLEMÁTICA DEL SUMINISTRO D (...),1971668749032
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"7- -PROMOCIONES Y PREVENCIONES REALIZADAS.
-CONSULTA E INVESTIGACIONES CONCLUIDAS.
-CAPACITACIONES REALIZADAS","5- VIG. DE ENF.PREV POR VAC Y PAI. FUE CREADO PARA CONTROL DE ENFERMEDADES EPIDEMIOLOGICAS A TRAVÉS DE VACUNAS. CONSISTE EN LA VIGILANCIA EPIDEMIOLOGICA DE ENFERMEDADES PREVENIBLES POR VACUNAS, COMO POLIOMELITIS, DIFTERIA, TOS CONVULSA, TETANOS, SARAMPIÓN, (...)",1934666362476
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- MEJORAR LAS CONDICIONES DE VIDA A COMUNIDADES INDIGENAS DOTANDO DE SISTEMAS DE AGUA POTABLE, LETRINAS SANITARIAS, SISTEMAS DE ALCANTARILLADO",1- MEJORAR LAS CONDICIONES SANITARIAS EN PEQUEÑAS COMUNIDADES SANITARIAS EN PARAGUAY A TRAVÉS DE UNA ADECUADA PROVISIÓN DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO.,1877380252344
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"6- DENTRO DE ESTE SUBPROGRAMA SE ENCUENTRAN CONTEMPLADOS LOS DISTINTOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y CONSERVACION DE CAMINOS VECINALES Y RURALES EN LA REGIÓN ORIENTAL DEL PAÍS, EJECUTADOS A TRAVÉS DE LA DIRECCION DE CAMINOS VECINALES DE ESTE  (...)",1875857702040
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,11- -TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO DE ACEPAR Y CAJA BANCARIA PARA PAGO DE JUBILADOS,0- *,1869027797100
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"4- -PREVENCIÓN, EDUCACIÓN E INVESTIGACIÓN, REALIZADA.
-CONSULTAS EFECTUADAS.
-INTERNACIONES EFECTIVAS.
-ASISTENCIA INICIAL EN CASOS DE URGENCIAS, EFECTUADAS.",1- *,1742875183080
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,15-DIRECCION NACIONAL DE ADUANAS,"1- - INCREMENTAR LA RECAUDACIÓN FISCAL MEJORANDO LA APLICACIÓN DE LAS TÉCNICAS ADUANERAS.
",0- *,1733119702644
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,1- *,"0- ES EL PROCESO DE DISEÑO DE POLITICAS DE REDUCCION DE LA POBREZA E IMPLEMENTACION DE PROGRAMAS Y PROYECTOS QUE LA SAS DESARROLLA ATRAVEZ DE SUS UNIDADES, EN COORDINACION CON LOS GOBIERNOS DEPARTAMENTALES Y LOCALES, LAS ENTIDADES EJECUTORAS Y LOS ORGANISM (...)",1722569219028
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,4- PAGO OPORTUNO DE LA DEUDA,0- *,1674840000000
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,13- *,0- *,1664295850644
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"7- DENTRO DE ESTE SUBPROGRAMA SE CONTEMPLAN LOS PROYECTOS A CARGO DE LA DIRECCION DE OBRAS PÚBLICAS.
",1620549618732
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,1- *,1607807917032
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- INFORMACIONES CONFIABLES Y PRECISAS.
DISMINUCIÓN DE JUICIOS POR DEUDAS PRESCRIPTAS A CONTRIBUYENTES CUYAS POSIBILIDAD DE EFECTIVIZACIÓN SEAN NULAS.
CONCURSO DE MERITOS PARA ACCESO A PROMOCIONES O VACANCIAS.
PROVISIÓN DE INSUMOS EN TIEMPO Y FORMA.
PAGO A (...)",0- *,1598726468880
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"5- -BUENA CAPACIDAD FISICA DE LA INFRAESTRUCTURA EDILICIA PARA EL DESARROLLO DE LA CONDUCCIÓN Y EL PLANEAMIENTO ESTRATEGICO DE LA FUERZA AEREA.
-NIVEL ACEPTABLE DE MANTENIMIENTO DE EQUIPOS INFORMATICOS Y DE COMUNICACIÓN",0- *,1598289007572
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,7- *,1- *,1597559880852
11-PODER LEGISLATIVO,02-CÁMARA DE SENADORES,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA",0- *,1565880292524
